date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2022-06-30,MSFT,USD,0000789019,2022-07-28,2022-07-28 16:06:19,2022,FY,198270000000,62650000000,135620000000,0.684016744842891,24512000000,5900000000,21825000000,27725000000,0,52237000000,114887000000,2094000000,2063000000,14460000000,100239000000,0.5055681646239976,83383000000,0.4205527815604983,333000000,83716000000,0.4222323094769758,10978000000,72738000000,0.3668633681343622,9.7,9.65,7496000000,7540000000,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm
2021-06-30,MSFT,USD,0000789019,2021-07-29,2021-07-29 16:21:55,2021,FY,168088000000,52232000000,115856000000,0.689258007710247,20716000000,5107000000,20117000000,25224000000,0,45940000000,98172000000,2131000000,2346000000,11686000000,85134000000,0.5064846984912664,69916000000,0.415948788729713,1186000000,71102000000,0.4230046166293846,9831000000,61271000000,0.36451739564989766,8.12,8.05,7547000000,7608000000,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm
2020-06-30,MSFT,USD,0000789019,2020-07-30,2020-07-30 20:44:46,2020,FY,143015000000,46078000000,96937000000,0.6778100199279796,19269000000,5111000000,19598000000,24709000000,0,43978000000,90056000000,2680000000,2591000000,12796000000,68423000000,0.4784323322728385,52959000000,0.37030381428521486,77000000,53036000000,0.3708422193476209,8755000000,44281000000,0.3096248645247002,5.82,5.76,7610000000,7683000000,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm
2019-06-30,MSFT,USD,0000789019,2019-08-01,2019-08-01 16:09:55,2019,FY,125843000000,42910000000,82933000000,0.6590195720063889,16876000000,4885000000,18213000000,23098000000,0,39974000000,82884000000,2762000000,2686000000,11682000000,58056000000,0.46133674499177546,42959000000,0.3413698020549415,729000000,43688000000,0.34716273451840785,4448000000,39240000000,0.3118171054409065,5.11,5.06,7673000000,7753000000,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/0001564590-19-027952-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/msft-10k_20190630.htm
2018-06-30,MSFT,USD,0000789019,2018-08-03,2018-08-03 11:03:33,2018,FY,110360000000,38353000000,72007000000,0.652473722363175,14726000000,4754000000,17469000000,22223000000,0,36949000000,75302000000,0,2733000000,10261000000,49468000000,0.44824211670895253,35058000000,0.3176694454512505,1416000000,36474000000,0.33050018122508157,19903000000,16571000000,0.1501540413193186,2.15,2.13,7700000000,7794000000,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/0001564590-18-019062-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/msft-10k_20180630.htm
2017-06-30,MSFT,USD,0000789019,2017-08-02,2017-08-02 16:15:01,2017,FY,89950000000,34261000000,55689000000,0.6191106170094497,13037000000,4481000000,15539000000,20020000000,0,33057000000,67318000000,0,2222000000,8778000000,34149000000,0.3796442468037799,22326000000,0.24820455808782657,823000000,23149000000,0.25735408560311285,1945000000,21204000000,0.23573096164535853,2.74,2.71,7746000000,7832000000,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/0001564590-17-014900-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/msft-10k_20170630.htm
2016-06-30,MSFT,USD,0000789019,2016-07-28,2016-07-28 16:12:18,2016,FY,85320000000,32780000000,52540000000,0.6157993436474449,11988000000,4563000000,14697000000,19260000000,0,31248000000,64028000000,0,1243000000,6622000000,27616000000,0.3236755743084857,20182000000,0.236544772620722,-431000000,19751000000,0.2314932020628223,2953000000,16798000000,0.19688232536333802,2.12,2.1,7925000000,8013000000,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/0001193125-16-662209-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/d187868d10k.htm
2015-06-30,MSFT,USD,0000789019,2015-07-31,2015-07-31 15:07:52,2015,FY,93580000000,33038000000,60542000000,0.646954477452447,12046000000,4611000000,15713000000,20324000000,0,32370000000,65408000000,0,781000000,5957000000,25245000000,0.26976918144902756,18161000000,0.19406924556529173,346000000,18507000000,0.19776661679846122,6314000000,12193000000,0.13029493481513144,1.49,1.48,8177000000,8254000000,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/0001193125-15-272806-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/d918813d10k.htm
2014-06-30,MSFT,USD,0000789019,2014-07-31,2014-07-31 17:16:52,2014,FY,86833000000,26934000000,59899000000,0.6898183870187602,11381000000,4821000000,15811000000,20632000000,0,32013000000,58947000000,0,597000000,5212000000,33629000000,0.38728363640551405,27759000000,0.3196826091462923,61000000,27820000000,0.3203851070445568,5746000000,22074000000,0.2542121082998399,2.66,2.63,8299000000,8399000000,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/0001193125-14-289961-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/d722626d10k.htm
2013-06-30,MSFT,USD,0000789019,2013-07-30,2013-07-30 16:14:49,2013,FY,77849000000,20249000000,57600000000,0.7398938971598864,10411000000,5149000000,15276000000,20425000000,0,30836000000,51085000000,0,429000000,3755000000,31236000000,0.4012382946473301,26764000000,0.3437937545761667,288000000,27052000000,0.3474932240619661,5189000000,21863000000,0.2808385464167812,2.61,2.58,8375000000,8470000000,https://www.sec.gov/Archives/edgar/data/789019/000119312513310206/0001193125-13-310206-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312513310206/d527745d10k.htm
2012-06-30,MSFT,USD,0000789019,2012-07-26,2012-07-26 16:12:48,2012,FY,73723000000,17530000000,56193000000,0.762218032364391,9811000000,4569000000,13857000000,18426000000,0,28237000000,45767000000,0,380000000,2967000000,25614000000,0.3474356713644317,21763000000,0.2951995984970769,504000000,22267000000,0.30203599962019995,5289000000,16978000000,0.23029448069123612,2.02,2.0,8396000000,8506000000,https://www.sec.gov/Archives/edgar/data/789019/000119312512316848/0001193125-12-316848-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312512316848/d347676d10k.htm
