date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2022-12-31,MSFT,USD,0000789019,2023-01-24,2023-01-24 16:34:20,2023,Q2,16425000000,3648000000,-1305000000,2538000000,-10347000000,-3164000000,1305000000,-2058000000,-8049000000,214000000,11173000000,-6274000000,-679000000,-11599000000,11703000000,-301000000,-7150000000,-750000000,243000000,-5459000000,-5066000000,-317000000,-11349000000,88000000,-7238000000,15646000000,22884000000,11173000000,-6274000000,4899000000,https://www.sec.gov/Archives/edgar/data/789019/000156459023000733/0001564590-23-000733-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459023000733/msft-10q_20221231.htm
2022-09-30,MSFT,USD,0000789019,2022-10-25,2022-10-25 16:08:55,2023,Q1,17556000000,2790000000,-1191000000,2192000000,1873000000,11729000000,-543000000,-1567000000,-2912000000,-22000000,23198000000,-6283000000,-349000000,-5013000000,9373000000,-860000000,-3132000000,-1000000000,575000000,-5573000000,-4621000000,-264000000,-10883000000,-230000000,8953000000,22884000000,13931000000,23198000000,-6283000000,16915000000,https://www.sec.gov/Archives/edgar/data/789019/000156459022035087/0001564590-22-035087-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022035087/msft-10q_20220930.htm
2022-06-30,MSFT,USD,0000789019,2022-07-28,2022-07-28 16:06:19,2022,Q4,16740000000,3979000000,283000000,1997000000,1473000000,-12634000000,-461000000,2659000000,11555000000,157000000,24629000000,-6871000000,-1263000000,-4919000000,4462000000,-1138000000,-9729000000,0,461000000,-8757000000,-4632000000,-341000000,-13269000000,-198000000,1433000000,13931000000,12498000000,24629000000,-6871000000,17758000000,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm
2022-03-31,MSFT,USD,0000789019,2022-04-26,2022-04-26 16:08:55,2022,Q3,16728000000,3773000000,-198000000,1906000000,3072000000,857000000,-279000000,520000000,882000000,105000000,25386000000,-5340000000,-18719000000,-8723000000,17792000000,-1181000000,-16171000000,-4197000000,477000000,-8822000000,-4645000000,-158000000,-17345000000,24000000,-8106000000,12498000000,20604000000,25386000000,-5340000000,20046000000,https://www.sec.gov/Archives/edgar/data/789019/000156459022015675/0001564590-22-015675-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022015675/msft-10q_20220331.htm
2021-12-31,MSFT,USD,0000789019,2022-01-25,2022-01-25 16:09:04,2022,Q2,18765000000,3496000000,183000000,1897000000,-9554000000,-5543000000,394000000,235000000,-6400000000,-307000000,14480000000,-5865000000,-850000000,-2505000000,8148000000,-89000000,-1161000000,0,291000000,-7433000000,-4652000000,-192000000,-11986000000,106000000,1439000000,20604000000,19165000000,14480000000,-5865000000,8615000000,https://www.sec.gov/Archives/edgar/data/789019/000156459022002324/0001564590-22-002324-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022002324/msft-10q_20211231.htm
2021-09-30,MSFT,USD,0000789019,2021-10-26,2021-10-26 16:11:30,2022,Q1,20505000000,3212000000,-5970000000,1702000000,5455000000,10486000000,-777000000,-471000000,-232000000,-364000000,24540000000,-5810000000,-1206000000,-10309000000,14492000000,-417000000,-3250000000,-4826000000,612000000,-7684000000,-4206000000,-172000000,-16276000000,-73000000,4941000000,19165000000,14224000000,24540000000,-5810000000,18730000000,https://www.sec.gov/Archives/edgar/data/789019/000156459021051992/0001564590-21-051992-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021051992/msft-10q_20210930.htm
2021-06-30,MSFT,USD,0000789019,2021-07-29,2021-07-29 16:21:55,2021,Q4,16458000000,3344000000,-34000000,1571000000,1787000000,-11606000000,-388000000,1617000000,11365000000,-416000000,22710000000,-6452000000,-501000000,-14877000000,10543000000,434000000,-10853000000,0,450000000,-7177000000,-4214000000,-430000000,-11371000000,36000000,522000000,14224000000,13702000000,22710000000,-6452000000,16258000000,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm
2021-03-31,MSFT,USD,0000789019,2021-04-27,2021-04-27 16:09:38,2021,Q3,15457000000,2936000000,-88000000,1525000000,2700000000,290000000,-329000000,833000000,601000000,-351000000,22179000000,-5089000000,-7512000000,-18375000000,20892000000,400000000,-9684000000,-500000000,396000000,-6930000000,-4221000000,-1937000000,-13192000000,-33000000,-730000000,13702000000,14432000000,22179000000,-5089000000,17090000000,https://www.sec.gov/Archives/edgar/data/789019/000156459021020891/0001564590-21-020891-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021020891/msft-10q_20210331.htm
2020-12-31,MSFT,USD,0000789019,2021-01-26,2021-01-26 16:09:34,2021,Q2,15463000000,2761000000,-17000000,1566000000,-6903000000,-4008000000,788000000,33000000,-5595000000,-354000000,12516000000,-4174000000,-415000000,-15092000000,17685000000,327000000,-1669000000,-3250000000,302000000,-6535000000,-4230000000,79000000,-13634000000,14000000,-2773000000,14432000000,17205000000,12516000000,-4174000000,8342000000,https://www.sec.gov/Archives/edgar/data/789019/000156459021002316/0001564590-21-002316-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021002316/msft-10q_20201231.htm
2020-09-30,MSFT,USD,0000789019,2020-10-27,2020-10-27 16:21:58,2021,Q1,13893000000,2645000000,-11000000,1456000000,1480000000,8843000000,-808000000,315000000,-4047000000,-128000000,19335000000,-4907000000,-481000000,-14580000000,16680000000,-2083000000,-5371000000,0,545000000,-6743000000,-3856000000,-235000000,-10289000000,-46000000,3629000000,17205000000,13576000000,19335000000,-4907000000,14428000000,https://www.sec.gov/Archives/edgar/data/789019/000156459020047996/0001564590-20-047996-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020047996/msft-10q_20200930.htm
2020-06-30,MSFT,USD,0000789019,2020-07-30,2020-07-30 20:44:46,2020,Q4,11202000000,3504000000,-142000000,1349000000,2839000000,-9355000000,-251000000,3026000000,8776000000,-79000000,18673000000,-4744000000,-1650000000,-18879000000,22052000000,-1241000000,-4462000000,0,340000000,-5791000000,-3865000000,-2946000000,-12262000000,-83000000,1866000000,13576000000,11710000000,18673000000,-4744000000,13929000000,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm
2020-03-31,MSFT,USD,0000789019,2020-04-29,2020-04-29 16:11:11,2020,Q3,10752000000,3118000000,559000000,1338000000,1685000000,891000000,181000000,546000000,-736000000,52000000,17504000000,-3767000000,-329000000,-15910000000,20057000000,0,51000000,-3000000000,342000000,-7059000000,-3876000000,-1052000000,-14645000000,-64000000,2846000000,11710000000,8864000000,17504000000,-3767000000,13737000000,https://www.sec.gov/Archives/edgar/data/789019/000156459020019706/0001564590-20-019706-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020019706/msft-10q_20200331.htm
