date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2022-12-31,MSFT,USD,0000789019,2023-01-24,2023-01-24 16:34:20,2023,Q2,52747000000,17488000000,35259000000,0.6684550780139155,6844000000,2337000000,5679000000,8016000000,0,14860000000,32348000000,700000000,490000000,3648000000,24477000000,0.46404534855062846,20399000000,0.3867328947617874,-60000000,20339000000,0.38559538931124043,3914000000,16425000000,0.3113921170872277,2.2,2.2,7451000000,7473000000,https://www.sec.gov/Archives/edgar/data/789019/000156459023000733/0001564590-23-000733-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459023000733/msft-10q_20221231.htm
2022-09-30,MSFT,USD,0000789019,2022-10-25,2022-10-25 16:08:55,2023,Q1,50122000000,15452000000,34670000000,0.691712222177886,6628000000,1398000000,5126000000,6524000000,0,13152000000,28604000000,641000000,500000000,2790000000,24862000000,0.4960296875623479,21518000000,0.42931247755476637,54000000,21572000000,0.43038984876900366,4016000000,17556000000,0.3502653525398029,2.35,2.35,7457000000,7485000000,https://www.sec.gov/Archives/edgar/data/789019/000156459022035087/0001564590-22-035087-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022035087/msft-10q_20220930.htm
2022-06-30,MSFT,USD,0000789019,2022-07-28,2022-07-28 16:06:19,2022,Q4,51865000000,16429000000,35436000000,0.6832353224718017,6849000000,1749000000,6304000000,8053000000,0,14902000000,31331000000,552000000,496000000,3979000000,24962000000,0.48128795912465056,20534000000,0.3959124650535043,-47000000,20487000000,0.3950062662681963,3747000000,16740000000,0.3227610141714065,2.24,2.23,7474000000,7506000000,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm
2022-03-31,MSFT,USD,0000789019,2022-04-26,2022-04-26 16:08:55,2022,Q3,49360000000,15615000000,33745000000,0.6836507293354943,6306000000,1480000000,5595000000,7075000000,0,13381000000,28996000000,519000000,503000000,3773000000,24466000000,0.4956645056726094,20364000000,0.4125607779578606,-174000000,20190000000,0.4090356564019449,3462000000,16728000000,0.33889789303079415,2.23,2.22,7493000000,7534000000,https://www.sec.gov/Archives/edgar/data/789019/000156459022015675/0001564590-22-015675-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022015675/msft-10q_20220331.htm
2021-12-31,MSFT,USD,0000789019,2022-01-25,2022-01-25 16:09:04,2022,Q2,51728000000,16960000000,34768000000,0.6721311475409836,5758000000,1384000000,5379000000,6763000000,0,12521000000,29481000000,503000000,525000000,3496000000,26536000000,0.5129910300030931,22247000000,0.4300765542839468,268000000,22515000000,0.4352575007732756,3750000000,18765000000,0.36276291370244357,2.5,2.48,7505000000,7555000000,https://www.sec.gov/Archives/edgar/data/789019/000156459022002324/0001564590-22-002324-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022002324/msft-10q_20211231.htm
2021-09-30,MSFT,USD,0000789019,2021-10-26,2021-10-26 16:11:30,2022,Q1,45317000000,13646000000,31671000000,0.6988768012004325,5599000000,1287000000,4547000000,5834000000,0,11433000000,25079000000,520000000,539000000,3212000000,24275000000,0.5356709402652426,20238000000,0.4465873733918838,286000000,20524000000,0.45289847077255774,19000000,20505000000,0.45247920206545006,2.73,2.71,7513000000,7567000000,https://www.sec.gov/Archives/edgar/data/789019/000156459021051992/0001564590-21-051992-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021051992/msft-10q_20210930.htm
2021-06-30,MSFT,USD,0000789019,2021-07-29,2021-07-29 16:21:55,2021,Q4,46152000000,13991000000,32161000000,0.6968495406482926,5687000000,1522000000,5857000000,7379000000,0,13066000000,27057000000,497000000,553000000,3344000000,23302000000,0.5048968625411683,19095000000,0.41374154966198645,310000000,19405000000,0.4204584850060669,2947000000,16458000000,0.35660426417056684,2.19,2.17,7527000000,7581000000,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm
2021-03-31,MSFT,USD,0000789019,2021-04-27,2021-04-27 16:09:38,2021,Q3,41706000000,13045000000,28661000000,0.6872152687862658,5204000000,1327000000,5082000000,6409000000,0,11613000000,24658000000,519000000,633000000,2936000000,20805000000,0.4988490864623795,17048000000,0.4087661247782094,188000000,17236000000,0.41327386946722294,1779000000,15457000000,0.3706181364791637,2.05,2.03,7539000000,7597000000,https://www.sec.gov/Archives/edgar/data/789019/000156459021020891/0001564590-21-020891-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021020891/msft-10q_20210331.htm
2020-12-31,MSFT,USD,0000789019,2021-01-26,2021-01-26 16:09:34,2021,Q2,43076000000,14194000000,28882000000,0.6704893676293063,4899000000,1139000000,4947000000,6086000000,0,10985000000,25179000000,545000000,571000000,2761000000,21669000000,0.5030411365957842,17897000000,0.4154749744637385,440000000,18337000000,0.42568947906026555,2874000000,15463000000,0.3589701922184047,2.05,2.03,7555000000,7616000000,https://www.sec.gov/Archives/edgar/data/789019/000156459021002316/0001564590-21-002316-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021002316/msft-10q_20201231.htm
2020-09-30,MSFT,USD,0000789019,2020-10-27,2020-10-27 16:21:58,2021,Q1,37154000000,11002000000,26152000000,0.7038811433493029,4926000000,1119000000,4231000000,5350000000,0,10276000000,21278000000,0,589000000,2645000000,19358000000,0.5210206168918555,15876000000,0.4273025784572321,248000000,16124000000,0.4339774990579749,2231000000,13893000000,0.37393012865371156,1.84,1.82,7566000000,7637000000,https://www.sec.gov/Archives/edgar/data/789019/000156459020047996/0001564590-20-047996-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020047996/msft-10q_20200930.htm
2020-06-30,MSFT,USD,0000789019,2020-07-30,2020-07-30 20:44:46,2020,Q4,38033000000,12339000000,25694000000,0.675571214471643,5214000000,1656000000,5417000000,7073000000,0,12287000000,24626000000,0,686000000,3504000000,17612000000,0.4630715431335945,13407000000,0.352509662661373,15000000,13422000000,0.3529040570031289,2220000000,11202000000,0.294533694423264,1.48,1.46,7580000000,7650000000,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm
2020-03-31,MSFT,USD,0000789019,2020-04-29,2020-04-29 16:11:11,2020,Q3,35021000000,10975000000,24046000000,0.6866166014676908,4887000000,1273000000,4911000000,6184000000,0,11071000000,22046000000,0,614000000,3118000000,16575000000,0.4732874560977699,12975000000,0.3704919905199737,-132000000,12843000000,0.36672282344878787,2091000000,10752000000,0.30701579052568456,1.41,1.4,7602000000,7675000000,https://www.sec.gov/Archives/edgar/data/789019/000156459020019706/0001564590-20-019706-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020019706/msft-10q_20200331.htm
2019-12-31,MSFT,USD,0000789019,2020-01-29,2020-01-29 16:08:43,2020,Q2,36906000000,12358000000,24548000000,0.6651492982170921,4603000000,1121000000,4933000000,6054000000,0,10657000000,23015000000,0,654000000,3203000000,17942000000,0.4861540128976318,13891000000,0.37638866309001245,194000000,14085000000,0.3816452609331816,2436000000,11649000000,0.3156397333766867,1.53,1.51,7621000000,7691000000,https://www.sec.gov/Archives/edgar/data/789019/000156459020002450/0001564590-20-002450-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020002450/msft-10q_20191231.htm
2019-09-30,MSFT,USD,0000789019,2019-10-23,2019-10-23 16:09:48,2020,Q1,33055000000,10406000000,22649000000,0.6851913477537438,4565000000,1061000000,4337000000,5398000000,0,9963000000,20369000000,0,637000000,2971000000,16294000000,0.4929360157313568,12686000000,0.38378460142187265,0,12686000000,0.38378460142187265,2008000000,10678000000,0.3230373619724701,1.4,1.38,7634000000,7710000000,https://www.sec.gov/Archives/edgar/data/789019/000156459019037549/0001564590-19-037549-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/msft-10k_20190630.htm
2019-06-30,MSFT,USD,0000789019,2019-08-01,2019-08-01 16:09:55,2019,Q4,33717000000,10412000000,23305000000,0.6911943529970045,4513000000,1425000000,4962000000,6387000000,0,10900000000,21312000000,0,669000000,2924000000,16189000000,0.4801435477652223,12405000000,0.3679152949550672,191000000,12596000000,0.37358009312809565,-591000000,13187000000,0.39110834297238783,1.72,1.71,7655000000,7730000000,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/0001564590-19-027952-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/msft-10k_20190630.htm
2019-03-31,MSFT,USD,0000789019,2019-04-24,2019-04-24 16:10:10,2019,Q3,30571000000,10170000000,20401000000,0.6673317850250237,4316000000,1179000000,4565000000,5744000000,0,10060000000,20230000000,0,671000000,2926000000,14083000000,0.46066533642994995,10341000000,0.3382617513329626,145000000,10486000000,0.3430048084786235,1677000000,8809000000,0.2881488992836348,1.15,1.14,7672000000,7744000000,https://www.sec.gov/Archives/edgar/data/789019/000156459019012709/0001564590-19-012709-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459019012709/msft-10q_20190331.htm
2018-12-31,MSFT,USD,0000789019,2019-01-30,2019-01-30 16:09:56,2019,Q2,32471000000,12423000000,20048000000,0.6174124603492347,4070000000,1132000000,4588000000,5720000000,0,9790000000,22213000000,0,672000000,2995000000,14052000000,0.43275538172523176,10258000000,0.3159126605278556,127000000,10385000000,0.3198238428135875,1965000000,8420000000,0.2593083058729328,1.09,1.08,7692000000,7768000000,https://www.sec.gov/Archives/edgar/data/789019/000156459019001392/0001564590-19-001392-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459019001392/msft-10q_20181231.htm
2018-09-30,MSFT,USD,0000789019,2018-10-24,2018-10-24 16:13:07,2019,Q1,29084000000,9905000000,19179000000,0.6594347407509283,3977000000,1149000000,4098000000,5247000000,0,9224000000,19129000000,0,674000000,2837000000,13732000000,0.47214963553844036,9955000000,0.34228441754916794,266000000,10221000000,0.3514303397056801,1397000000,8824000000,0.3033970568009902,1.15,1.14,7673000000,7766000000,https://www.sec.gov/Archives/edgar/data/789019/000156459018024893/0001564590-18-024893-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/msft-10k_20180630.htm
2018-06-30,MSFT,USD,0000789019,2018-08-03,2018-08-03 11:03:33,2018,Q4,30085000000,9742000000,20343000000,0.6761841449227189,3933000000,1271000000,4760000000,6031000000,0,9964000000,19706000000,0,672000000,2516000000,13868000000,0.46096061160046536,10379000000,0.3449891972743892,301000000,10680000000,0.35499418314774805,1807000000,8873000000,0.2949310287518697,1.15,1.14,7683000000,7775000000,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/0001564590-18-019062-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/msft-10k_20180630.htm
2018-03-31,MSFT,USD,0000789019,2018-04-26,2018-04-26 16:10:21,2018,Q3,26819000000,9269000000,17550000000,0.6543868153174988,3715000000,1208000000,4335000000,5543000000,0,9258000000,18527000000,0,691000000,2710000000,12042000000,0.4490100302024684,8292000000,0.30918378761325926,349000000,8641000000,0.3221969499235616,1217000000,7424000000,0.2768186733286103,0.96,0.95,7698000000,7794000000,https://www.sec.gov/Archives/edgar/data/789019/000156459018009307/0001564590-18-009307-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459018009307/msft-10q_20180331.htm
2017-12-31,MSFT,USD,0000789019,2018-01-31,2018-01-31 16:10:10,2018,Q2,28918000000,11064000000,17854000000,0.6174009267584204,3504000000,1109000000,4562000000,5671000000,0,9175000000,20239000000,0,698000000,2536000000,12403000000,0.4289024137215575,8679000000,0.3001244899370634,490000000,9169000000,0.3170689535929179,15471000000,-6302000000,-0.2179265509371326,-0.82,-0.82,7710000000,7710000000,https://www.sec.gov/Archives/edgar/data/789019/000156459018001129/0001564590-18-001129-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459018001129/msft-10q_20171231.htm
2017-09-30,MSFT,USD,0000789019,2017-10-26,2017-10-26 16:08:58,2018,Q1,24538000000,8278000000,16260000000,0.6626456923954682,3574000000,1166000000,3812000000,4978000000,0,8552000000,16830000000,0,672000000,2499000000,11155000000,0.45460102697856386,7708000000,0.3141250305648382,276000000,7984000000,0.3253728910261635,1408000000,6576000000,0.2679925014263591,0.85,0.84,7708000000,7799000000,https://www.sec.gov/Archives/edgar/data/789019/000156459017020171/0001564590-17-020171-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/msft-10k_20170630.htm
2017-06-30,MSFT,USD,0000789019,2017-08-02,2017-08-02 16:15:01,2017,Q4,23317000000,8456000000,14861000000,0.6373461422996097,3514000000,1355000000,4356000000,5711000000,0,9225000000,17681000000,0,655000000,2343000000,8543000000,0.3663850409572415,5330000000,0.2285885834369773,215000000,5545000000,0.23780932366942575,-968000000,6513000000,0.2793240982973796,0.84,0.83,7715000000,7806000000,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/0001564590-17-014900-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/msft-10k_20170630.htm
2017-03-31,MSFT,USD,0000789019,2017-04-27,2017-04-27 16:16:04,2017,Q3,22090000000,8060000000,14030000000,0.6351290176550475,3355000000,1202000000,3879000000,5081000000,0,8436000000,16496000000,0,609000000,2453000000,8978000000,0.4064282480760525,5594000000,0.25323675871435036,322000000,5916000000,0.26781349026708917,1115000000,4801000000,0.21733816206428247,0.62,0.61,7725000000,7813000000,https://www.sec.gov/Archives/edgar/data/789019/000156459017007547/0001564590-17-007547-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459017007547/msft-10q_20170331.htm
2016-12-31,MSFT,USD,0000789019,2017-01-26,2017-01-26 16:13:28,2017,Q2,24090000000,9901000000,14189000000,0.5889995848899958,3062000000,879000000,4071000000,4950000000,0,8012000000,17913000000,0,521000000,2166000000,9050000000,0.3756745537567455,6177000000,0.2564134495641345,186000000,6363000000,0.26413449564134495,1163000000,5200000000,0.21585720215857201,0.67,0.66,7755000000,7830000000,https://www.sec.gov/Archives/edgar/data/789019/000156459017000654/0001564590-17-000654-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459017000654/msft-10q_20161231.htm
